income,num_people_household,marital_status,age_yrs,gender,id,time_in_us,is_citizen,age_months,years_edu
2,1,3,64,2,73641,,1,,
8,3,1,57,2,73642,,1,,
1,2,1,62,1,73643,7,1,,
7,6,,8,1,73644,,1,,2
15,6,1,54,2,73645,,1,,
15,4,,4,1,73646,,1,,
10,3,1,61,2,73647,,1,,
15,4,,16,2,73648,,1,,11
2,5,,3,1,73649,,1,,
10,6,,6,1,73650,,1,,0
9,4,,6,2,73651,,1,,0
9,2,1,54,2,73652,,1,,
3,6,,10,2,73653,,1,,4
4,3,5,46,1,73654,,1,,
8,5,1,44,1,73655,,1,,
15,4,1,54,1,73656,,1,,
7,5,,19,2,73657,,1,,11
15,3,1,35,1,73658,,1,,
6,2,2,70,2,73659,,1,,
7,3,1,59,1,73660,3,2,,
7,3,5,25,1,73661,99,1,,
3,4,5,39,1,73662,,1,,
15,2,5,25,1,73663,,1,,
14,4,,5,2,73664,,1,,
1,2,4,59,1,73665,77,2,,
9,2,1,70,1,73666,,1,,
4,5,6,24,1,73667,,1,,
8,7,5,30,2,73668,,1,,
5,4,,4,1,73669,,1,,
3,1,2,71,2,73670,9,2,,
3,1,5,49,1,73671,,1,,
14,2,1,73,1,73672,,1,,
15,4,1,45,1,73673,,1,,
12,5,1,45,2,73674,7,1,,
4,3,1,29,1,73675,3,2,,
10,4,1,44,1,73676,,1,,
15,2,1,61,2,73677,,1,,
6,5,1,51,1,73678,,1,,
7,5,,1,2,73679,,1,23,
8,3,,12,1,73680,,1,,7
6,5,,9,2,73681,,1,,3
2,3,,3,2,73682,,1,,
8,4,,2,2,73683,,1,,
15,2,1,64,1,73684,7,1,,
6,4,,0,2,73685,,1,1,
5,6,,7,2,73686,,1,,1
4,4,,8,1,73687,,1,,1
10,2,1,58,1,73688,,1,,
15,3,1,54,1,73689,,1,,
8,2,1,77,2,73690,,1,,
8,6,,14,1,73691,,1,,7
6,2,1,65,1,73692,6,2,,
2,1,3,78,2,73693,,1,,
10,2,1,66,2,73694,,1,,
9,2,1,79,2,73695,,1,,
99,3,,8,2,73696,,1,,1
8,2,1,57,2,73697,,1,,
9,2,6,23,1,73698,,1,,
,2,5,20,1,73699,,1,,
3,4,,0,1,73700,,1,10,
15,4,1,47,1,73701,4,2,,
9,2,1,48,2,73702,,1,,
77,4,1,38,2,73703,5,1,,
7,7,,8,2,73704,,1,,2
15,4,,10,1,73705,,1,,4
6,4,1,54,1,73706,,1,,
77,2,5,45,1,73707,,1,,
15,4,1,69,1,73708,,1,,
6,2,1,64,1,73709,,1,,
4,6,,2,1,73710,,1,,
4,7,,5,1,73711,,1,,
15,4,,18,1,73712,,1,,15
99,5,,3,1,73713,,1,,
15,3,1,29,2,73714,,1,,
9,3,1,38,2,73715,,1,,
8,1,5,25,1,73716,,1,,
7,3,2,78,1,73717,,1,,
5,3,1,53,1,73718,,1,,
6,7,,11,2,73719,,1,,6
9,3,1,48,1,73720,,1,,
6,1,3,80,2,73721,,1,,
7,1,2,80,2,73722,,1,,
15,2,1,77,1,73723,,1,,
,2,5,26,1,73724,,1,,
8,2,2,80,2,73725,,1,,
8,7,3,67,2,73726,,1,,
2,3,,3,2,73727,,1,,
15,6,,16,1,73728,,1,,9
9,4,1,46,1,73729,,1,,
6,3,5,48,1,73730,,1,,
15,4,,12,1,73731,,1,,6
8,2,1,80,1,73732,9,1,,
12,5,5,23,2,73733,,1,,
1,3,,5,2,73734,,1,,
1,3,5,29,2,73735,99,1,,
77,3,5,55,1,73736,,1,,
10,6,1,30,2,73737,,1,,
15,4,5,29,1,73738,,1,,
6,3,6,46,2,73739,,1,,
9,4,1,57,2,73740,6,2,,
12,5,1,47,2,73741,6,2,,
7,5,,11,2,73742,,1,,4
13,4,,0,1,73743,,1,11,
4,5,,0,2,73744,,1,9,
3,4,,7,1,73745,,1,,0
3,1,2,64,2,73746,,1,,
14,2,1,80,2,73747,,1,,
8,7,,0,1,73748,,1,10,
77,2,5,29,1,73749,,1,,
7,5,,9,1,73750,3,1,,3
3,2,4,61,2,73751,,1,,
9,5,,8,2,73752,,1,,4
8,4,,11,2,73753,,1,,5
4,3,,15,1,73754,,1,,8
7,2,2,75,1,73755,,1,,
77,4,1,56,1,73756,,1,,
14,2,5,29,2,73757,,1,,
15,7,,15,2,73758,,1,,8
7,4,,9,2,73759,,1,,3
5,2,3,64,1,73760,,1,,
3,5,,17,1,73761,,1,,11
10,6,,3,1,73762,,1,,
1,6,1,31,2,73763,,1,,
10,5,,13,1,73764,,1,,7
3,3,1,54,1,73765,,1,,
5,1,3,75,2,73766,,1,,
15,4,1,35,2,73767,3,2,,
14,4,,4,2,73768,,1,,
77,1,3,42,1,73769,,,,
